id,severity,severity_th,priority_rank,status,area,finding,impact,recommendation
F01,Critical,วิกฤต,1,Confirmed,Input and provenance,"The supplied CSV/coordinate inputs do not satisfy the hard-coded Excel/long-format contract; missing files trigger synthetic data instead of stopping.","A successful-looking run may describe synthetic rather than observed rainfall.","Accept explicit CSV/Excel paths and schemas; validate keys and fail closed with a run manifest."
F02,Critical,วิกฤต,1,Confirmed,Modified Mann-Kendall,"The function named Hamed-Rao uses a sample-mean VIF on raw-series ACF and clamps it to at least one rather than the paper's detrended rank-ACF weighted correction.","Reported MMK p-values do not implement the cited method.","Implement Hamed-Rao Eq. 29-30 faithfully and validate against hand-worked and reference cases."
F03,Critical,วิกฤต,1,Confirmed,False discovery rate,"The simulation averages R/m under the complete null and labels it FDR; true FDR is E[V/max(R,1)] and equals P(R>0) under the complete null.","Table/Figure 9 and narrative claims about FDR are false.","Compute FDP per replicate; report mean FDP and optionally FWER and rejection proportion separately."
F04,Critical,วิกฤต,1,Confirmed,Explanation document,"The DOCX describes another script and a five-station dataset with different counts, correlations, trend signs, and effect estimates.","The written conclusions cannot be used to explain the supplied data or archived results.","Regenerate the document from one versioned results manifest and remove all stale values."
F05,High,สูง,2,Confirmed,Station analysis,"Main analyzes valid_stations[:5], omitting seven of twelve stations; observed station p-values receive no BH adjustment.","Network conclusions are incomplete and a raw p=0.024 result disappears after BH across all 12 stations.","Analyze all eligible stations and predefine/apply a multiplicity family with q-values."
F06,High,สูง,2,Confirmed,Completeness,"Aggregation has no period-level completeness rule and includes partial dry seasons for 1981 and 2015.","The dry sample size and Sen slope are altered by structurally incomplete endpoints.","Count expected/valid days per station-period and exclude or flag incomplete months/seasons/years before aggregation."
F07,High,สูง,2,Confirmed,Bootstrap,"Moving-block bootstrap concatenates blocks of raw levels and estimates slope against their new order.","The bootstrap destroys the original time/trend alignment and does not yield a valid Sen-slope confidence interval.","Resample detrended residual blocks on a fixed time index or use a validated dependent-data trend bootstrap."
F08,High,สูง,2,Confirmed,Reproducibility,"The archive omits executed source, original inputs, and dependency versions; its log records behavior absent from the supplied script.","The historical run cannot be recreated exactly and code-output provenance is broken.","Archive source hash, inputs, environment lock, configuration, run ID, and outputs together."
F09,High,สูง,2,Confirmed limitation,Simulation design,"Gaussian independent AR(1) annual simulations do not represent zero-inflated monsoonal rainfall or spatially correlated stations, yet the output gives universal method thresholds.","Calibration and decision rules may not transfer to the observed network.","Simulate fitted marginal/seasonal/spatial dependence and label results as scenario-specific sensitivity evidence."
F10,High,สูง,2,Confirmed,Metadata and spatial output,"The elevation header is not recognized, four values are NS, metadata tables are empty, and the spatial exporter ignores trend results.","Maps and spatial interpretation are absent or unsupported.","Normalize metadata schema, validate numeric elevation, merge trends by station key, and fail visibly on unmatched stations."
F11,Medium,กลาง,3,Confirmed,Autocorrelation diagnostic,"The sample-mean VIF yields annual VIF=0.055 and effective n=614.9 from n=34.","The diagnostic is not interpretable as effective sample size and cannot justify method choice.","Remove or rename it; use a justified estimator with bounds/uncertainty and separate diagnostics from inference."
F12,Medium,กลาง,3,Confirmed,Sensitivity analysis,"Changing only Gaussian sigma cannot affect rank-test decisions except through Monte Carlo noise; different seeds are also used and the result is omitted from Table 8.","The variance-sensitivity claim is scientifically uninformative and incompletely reported.","Use common random numbers and vary signal-to-noise through trend/sigma ratio or realistic distributional parameters."
F13,Medium,กลาง,3,Confirmed,Reporting,"Table 9 hard-codes 2000 iterations while current main requests 1000.","The reported Monte Carlo precision and provenance can be wrong.","Pass n_iter through result metadata and derive labels directly from executed configuration."
F14,Medium,กลาง,3,Confirmed code risk,Standard Mann-Kendall,"Dropping missing values compresses calendar gaps and no explicit zero-variance guard handles constant series.","Edge cases can return misleading slopes or invalid Z/p values.","Carry calendar time into Sen slope and add deterministic tests for ties, constants, gaps, and minimum n."
F15,Medium,กลาง,3,Confirmed limitation,Prewhitening,"Raw prewhitening estimates lag-1 dependence from a trending series and narrative text attributes significance changes causally to autocorrelation.","Trend can be attenuated and causal interpretation is not established by the comparison.","Treat PW/TFPW as prespecified sensitivity methods and report estimator bias/size from calibrated simulations."
F16,Medium,กลาง,3,Confirmed,Document quality,"The eight-page DOCX embeds no figures despite Figure 2-13 references and contains avoidable blank space and an empty bullet.","The evidence trail and presentation quality are inadequate for submission.","Embed version-matched figures/tables and run automated cross-reference plus visual pagination checks."
F17,Low,ต่ำ,4,Confirmed code risk,Software design,"Import creates output directories/logs and reruns write into unversioned output locations.","Inspection and reuse have side effects and results may be overwritten or mixed.","Move side effects under main and write to immutable run-ID directories."
F18,Low,ต่ำ,4,Confirmed code risk,Maintainability,"The AR(1) initialization comment is inaccurate and some function defaults are mutable lists.","The code communicates the simulation incorrectly and has avoidable maintenance hazards.","Correct the comment and use immutable tuple/None defaults."
